Number of segments;Max;Median;Min
311;76,59949999999999;49,539249999999996;43,0092
312;76,59949999999999;49,539249999999996;43,0092
313;76,59949999999999;50,01115;43,0092
314;77,6;50,01135;43,0092
315;77,6;50,06735;44,009299999999996
316;77,6;50,06735;44,009299999999996
317;77,6;50,98115;44,009299999999996
318;78,5997;51,0115;44,009299999999996
319;78,5997;51,0394;45,009499999999996
320;78,5997;51,067499999999995;45,009499999999996
321;78,5997;52,01175;46,0098
322;78,5997;52,012;46,0098
323;79,59989999999999;52,012;46,0098
324;79,59989999999999;52,5117;46,0098
325;79,59989999999999;52,987649999999995;46,0098
326;79,59989999999999;53,0117;47,0101
327;80,6001;53,0119;47,0101
328;80,6001;53,488049999999994;47,0101
329;80,6001;53,516149999999996;47,0101
330;80,6001;53,988099999999996;47,0101
331;81,60029999999999;54,012;48,0103
332;81,60029999999999;54,012049999999995;48,0103
333;81,60029999999999;54,488;48,0103
334;82,6006;54,988049999999994;48,0103
335;82,6006;54,988049999999994;48,0103
336;82,6006;55,012299999999996;48,0103
337;82,6006;55,01235;49,0109
338;82,6006;55,988749999999996;49,0109
339;82,6006;56,012699999999995;49,0109
340;83,6013;56,012699999999995;49,0109
341;83,6013;56,012699999999995;49,0109
342;83,6013;57,012699999999995;49,0109
343;84,601;57,012899999999995;50,0107
344;84,601;57,012899999999995;50,0107
345;84,601;57,013;50,0107
346;84,601;57,51285;50,0107
347;84,601;57,51285;50,0107
348;85,6198;57,98855;50,0698
349;85,6198;58,022349999999996;50,0698
350;85,6198;58,022349999999996;51,011399999999995
351;85,6198;58,055749999999996;51,011399999999995
352;85,6198;59,01285;51,011399999999995
353;86,6134;59,5224;51,0695
354;86,6134;59,5224;52,0117
355;87,6139;59,54065;52,0117
356;87,6139;60,013149999999996;52,0117
357;88,61359999999999;60,01325;52,0117
358;88,61359999999999;60,5229;53,0113
359;88,61359999999999;60,546749999999996;53,0113
360;88,61359999999999;60,546749999999996;53,0113
361;89,6138;61,013099999999994;53,0113
362;89,6138;61,022949999999994;53,0113
363;89,6138;61,546899999999994;54,011599999999994
364;90,61399999999999;61,546899999999994;54,011599999999994
365;90,61399999999999;62,01325;54,011599999999994
366;90,61399999999999;62,01425;54,011599999999994
367;90,61399999999999;62,340199999999996;54,0781
368;91,6143;62,5472;55,003299999999996
369;91,6143;63,0137;55,003299999999996
370;91,6143;63,01405;55,003299999999996
371;91,6143;63,0316;55,003299999999996
372;91,6143;63,058949999999996;55,003299999999996
373;92,61449999999999;64,0142;56,0121
374;92,61449999999999;64,01445;56,0121
375;92,61449999999999;64,01485;56,0121
376;93,6151;64,08155;56,0121
377;93,6151;64,54795;56,0121
378;93,6151;65,01455;56,0789
379;93,6151;65,0248;57,0119
380;94,615;65,08189999999999;57,0119
381;94,615;65,08189999999999;57,0119
382;95,63369999999999;66,0144;57,0119
383;95,63369999999999;66,06349999999999;57,0119
384;95,63369999999999;66,5437;58,012499999999996
385;96,62729999999999;67,01004999999999;58,012499999999996
386;97,6278;67,01465;58,012499999999996
387;97,6278;67,06455;58,012499999999996
388;97,6278;67,09644999999999;58,012499999999996
389;98,6274;68,0148;58,012499999999996
390;98,6274;68,0148;59,0132
391;98,6274;68,0649;59,0132
392;98,6274;68,09365;59,0132
393;98,6274;69,01505;59,0132
394;99,62769999999999;69,01535;59,0132
395;99,62769999999999;69,05565;59,0132
396;99,62769999999999;69,5548;60,012899999999995
397;99,62769999999999;70,01545;60,012899999999995
398;100,6278;70,05539999999999;60,012899999999995
399;100,6278;70,55494999999999;60,012899999999995
400;101,62809999999999;71,01565;61,0136
401;101,62809999999999;71,0159;61,0136
402;101,62809999999999;71,05534999999999;61,0136
403;102,6283;71,55754999999999;61,0136
404;102,6283;72,01559999999999;62,0139
405;102,6283;72,05579999999999;62,0139
406;102,6283;72,09755;62,0139
407;102,6283;72,09755;62,0139
408;102,6283;73,0559;62,0139
409;103,62899999999999;73,09774999999999;63,0136
410;103,62899999999999;73,09774999999999;63,0136
411;103,62899999999999;73,5583;63,0136
412;104,6289;74,05615;63,0136
413;104,6289;74,0979;64,01389999999999
414;104,6289;74,0979;64,01389999999999
415;104,6289;74,55845;64,01389999999999
416;105,6475;75,0546;64,01389999999999
417;105,6475;75,0546;64,01389999999999
418;105,6475;75,0546;64,01389999999999
419;106,6411;76,01695;64,01389999999999
420;106,6411;76,059;65,0141
421;106,6411;76,1032;65,0141
422;107,64179999999999;76,1032;65,0141
423;107,64179999999999;76,9807;65,0141
424;107,64179999999999;77,05905;65,0141
425;108,6413;77,0641;66,01429999999999
426;108,6413;77,5256;66,01429999999999
427;108,6413;77,5256;66,01429999999999
428;109,6415;77,9858;66,01429999999999
429;109,6415;78,07379999999999;66,01429999999999
430;109,6415;78,56904999999999;67,0145
431;110,64179999999999;78,57379999999999;67,0145
432;110,64179999999999;79,06784999999999;68,01469999999999
433;110,64179999999999;79,1105;68,01469999999999
434;110,64179999999999;79,57055;68,01469999999999
435;110,64179999999999;80,179;68,081
436;111,64189999999999;81,01769999999999;68,09689999999999
437;111,64189999999999;81,01769999999999;69,0154
438;111,64189999999999;81,01769999999999;69,08149999999999
439;111,64189999999999;81,13405;69,08149999999999
440;112,64219999999999;81,6339;69,08149999999999
441;112,64219999999999;82,06375;69,08149999999999
442;112,64219999999999;82,06375;70,0152
